date,cholera,ebola,swine_flu,sars,measles,meningitis
31-Dec-19,0,59,0,0,0,0
01-Jan-20,1,60,0,0,0,0
02-Jan-20,5,77,0,1,0,2
03-Jan-20,12,77,0,1,1,3
04-Jan-20,21,77,0,2,1,6
05-Jan-20,33,77,0,2,1,9
06-Jan-20,47,77,0,3,2,13
07-Jan-20,64,82,0,4,3,18
08-Jan-20,84,88,0,4,4,24
09-Jan-20,106,90,0,9,5,30
10-Jan-20,131,93,0,10,6,37
11-Jan-20,159,96,0,10,7,45
12-Jan-20,189,99,0,11,8,53
13-Jan-20,222,102,0,14,10,62
14-Jan-20,257,106,0,17,11,72
15-Jan-20,295,110,0,17,13,82
16-Jan-20,336,115,0,49,15,93
17-Jan-20,379,117,0,53,17,105
18-Jan-20,425,120,0,53,19,117
19-Jan-20,474,123,0,54,21,130
20-Jan-20,525,126,0,56,23,144
21-Jan-20,579,129,0,58,26,158
22-Jan-20,635,132,0,62,28,172
23-Jan-20,694,135,0,78,31,187
24-Jan-20,756,136,0,79,33,203
25-Jan-20,820,138,0,84,36,219
26-Jan-20,887,140,0,89,39,235
27-Jan-20,957,142,1,93,42,252
28-Jan-20,1029,144,1,98,45,269
29-Jan-20,1104,147,2,103,49,287
30-Jan-20,1181,148,2,106,52,305
31-Jan-20,1261,149,3,111,56,323
01-Feb-20,1344,151,3,116,59,342
02-Feb-20,1440,152,4,119,63,361
03-Feb-20,1534,154,4,131,67,380
04-Feb-20,1626,155,4,144,71,399
05-Feb-20,1716,157,5,154,75,419
06-Feb-20,1804,158,5,159,79,439
07-Feb-20,1891,160,6,165,84,459
08-Feb-20,1975,162,6,182,88,479
09-Feb-20,2057,164,7,182,93,499
10-Feb-20,2138,166,7,199,97,520
11-Feb-20,2216,166,9,217,102,540
12-Feb-20,2293,166,15,229,107,560
13-Feb-20,2367,166,25,251,112,580
14-Feb-20,2440,166,39,263,117,601
15-Feb-20,2510,167,57,274,122,621
16-Feb-20,2578,167,79,293,128,641
17-Feb-20,2644,167,106,307,133,661
18-Feb-20,2708,167,136,321,139,681
19-Feb-20,2770,168,170,353,145,701
20-Feb-20,2830,169,208,372,151,720
21-Feb-20,2888,171,251,391,156,739
22-Feb-20,2943,173,297,417,163,758
23-Feb-20,2996,174,347,435,169,777
24-Feb-20,3047,176,401,448,175,795
25-Feb-20,3095,178,460,461,181,813
26-Feb-20,3141,179,522,478,188,831
27-Feb-20,3185,181,589,495,195,848
28-Feb-20,3226,183,659,506,201,865
29-Feb-20,3265,184,734,514,208,881
01-Mar-20,3301,185,812,526,215,897
02-Mar-20,3334,186,895,539,222,913
03-Mar-20,3365,187,955,552,230,928
04-Mar-20,3393,200,967,573,237,942
05-Mar-20,3419,201,1028,587,244,956
06-Mar-20,3441,203,1040,598,252,970
07-Mar-20,3460,204,1040,611,260,983
08-Mar-20,3476,206,1070,623,268,995
09-Mar-20,3488,208,1100,633,276,1007
10-Mar-20,3496,215,1112,643,284,1018
11-Mar-20,3500,223,1148,662,292,1028
12-Mar-20,3513,231,1173,666,300,1038
13-Mar-20,3526,235,1197,682,308,1047
14-Mar-20,3539,239,1261,689,317,1055
15-Mar-20,3551,244,1326,696,326,1063
16-Mar-20,3564,248,1390,710,334,1070
17-Mar-20,3577,253,1402,725,343,1076
18-Mar-20,3590,270,1414,735,352,1082
19-Mar-20,3603,279,1463,745,361,1087
20-Mar-20,3616,289,1511,750,370,1091
21-Mar-20,3629,298,1567,754,380,1094
22-Mar-20,3642,308,1624,764,389,1097
23-Mar-20,3654,317,1680,767,399,1098
24-Mar-20,3667,327,1692,770,408,1100
25-Mar-20,3680,337,1704,772,418,1100
26-Mar-20,3693,337,1729,772,428,1100
27-Mar-20,3706,337,1753,775,438,1100
28-Mar-20,3719,337,1827,779,448,1100
29-Mar-20,3732,337,1908,780,458,1100
30-Mar-20,3745,337,1994,782,469,1100
31-Mar-20,3757,338,2087,784,479,1100
01-Apr-20,3770,354,2185,789,490,1100
02-Apr-20,3783,370,2289,789,501,1100
03-Apr-20,3796,386,2400,790,511,1100
04-Apr-20,3809,402,2516,792,522,1100
05-Apr-20,3822,418,2638,794,533,1100
06-Apr-20,3835,434,2766,796,544,1100
07-Apr-20,3848,450,2900,799,556,1100
08-Apr-20,3860,467,3040,799,567,1100
09-Apr-20,3873,469,3186,801,579,1100
10-Apr-20,3886,472,3338,804,590,1100
11-Apr-20,3899,475,3496,804,602,1100
12-Apr-20,3957,478,3660,804,614,1100
13-Apr-20,4015,481,3830,804,626,1100
14-Apr-20,4073,518,4006,805,638,1100
15-Apr-20,4131,521,4188,807,650,1100
16-Apr-20,4145,525,4375,808,663,1100
17-Apr-20,4159,528,4569,809,675,1100
18-Apr-20,4173,532,4769,810,688,1100
19-Apr-20,4186,535,4974,810,700,1100
20-Apr-20,4200,539,5186,810,713,1100
21-Apr-20,4214,570,5409,811,726,1100